AvAge,W,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
27.7,45,262,250,0.19,0.02,3.2,3.05,63,258,24.42,59,284,79.23,2,5,2439,10.7,2646,0.906,100.7,4
28.2,39,250,253,-0.04,0.02,3.05,3.09,52,247,21.05,58,232,75,9,8,2645,9.5,2721,0.907,100,5
28,28,213,289,-0.83,0.05,2.6,3.52,47,245,19.18,53,223,76.23,2,6,2362,9,2703,0.893,99,4
28,25,206,309,-1.23,0.06,2.51,3.77,28,202,13.86,64,256,75,3,4,2121,9.7,2910,0.894,99.7,1
28.8,50,291,206,0.99,-0.05,3.55,2.51,54,236,22.88,42,250,83.2,7,3,2908,10,2374,0.913,100.9,11
29.1,49,285,251,0.46,0,3.48,3.06,61,235,25.96,52,252,79.37,11,6,2790,10.2,2647,0.905,99.9,4
28,44,235,232,0.03,-0.01,2.87,2.83,40,248,16.13,53,227,76.65,11,9,2865,8.2,2341,0.901,98.7,5
28.5,43,262,244,0.21,-0.01,3.2,2.98,39,212,18.4,47,208,77.4,10,7,2830,9.3,2458,0.901,99.6,3
27.7,40,246,231,0.16,0,3,2.82,58,247,23.48,58,231,74.89,5,6,2622,9.4,2612,0.912,100.7,1
29,32,211,261,-0.58,0.03,2.57,3.18,41,216,18.98,33,223,85.2,4,11,2400,8.8,2622,0.9,99.2,3
27.9,31,228,266,-0.45,0.03,2.78,3.24,48,219,21.92,43,224,80.8,6,4,2393,9.5,2725,0.902,99.3,4
28.7,27,213,284,-0.8,0.04,2.6,3.46,32,220,14.55,56,223,74.89,8,7,2380,8.9,2367,0.88,98.3,3
27.1,36,175,134,0.67,-0.1,3.13,2.39,42,164,25.61,26,176,85.23,7,6,1794,9.8,1581,0.915,100.8,6
28.1,37,188,151,0.56,-0.08,3.36,2.7,39,190,20.53,34,168,79.76,4,4,1954,9.6,1682,0.91,100.1,3
28.4,36,180,145,0.53,-0.08,3.21,2.59,40,180,22.22,29,183,84.15,3,3,1692,10.6,1583,0.908,100.8,6
28.5,31,151,154,0.03,0,2.7,2.75,28,159,17.61,42,172,75.58,6,2,1679,9,1753,0.912,101.1,5
28.5,23,156,148,0.06,-0.01,2.79,2.64,37,157,23.57,32,153,79.08,3,4,1699,9.2,1518,0.903,99.6,4
27,24,159,184,-0.39,0.06,2.84,3.29,38,175,21.71,35,151,76.82,3,7,1635,9.7,1888,0.903,99.6,4
29.3,19,125,168,-0.69,0.1,2.23,3,17,149,11.41,33,155,78.71,0,4,1528,8.2,1786,0.906,99.5,2
27.1,18,134,184,-0.78,0.11,2.39,3.29,18,117,15.38,28,133,78.95,6,2,1625,8.2,1815,0.899,98.7,2
28.4,37,193,155,0.62,-0.09,3.45,2.77,36,152,23.68,35,155,77.42,6,4,1684,11.5,1679,0.908,101.6,5
30.6,36,188,161,0.44,-0.06,3.36,2.88,38,153,24.84,26,162,83.95,2,8,1647,11.4,1612,0.9,101.4,4
28.7,33,164,134,0.5,-0.07,2.93,2.39,35,160,21.88,25,178,85.96,9,6,1866,8.8,1516,0.912,99.4,6
29.2,32,152,125,0.44,-0.06,2.71,2.23,27,144,18.75,22,135,83.7,4,0,1623,9.4,1590,0.921,101.4,10
25.8,27,176,155,0.31,-0.05,3.14,2.77,37,179,20.67,30,169,82.25,8,4,1607,11,1664,0.907,101.2,5
27.8,25,160,197,-0.59,0.08,2.86,3.52,32,167,19.16,45,167,73.05,1,6,1692,9.5,1636,0.88,98.1,3
25.9,19,145,189,-0.77,0.11,2.59,3.38,22,155,14.19,43,148,70.95,3,5,1612,9,1737,0.891,99.1,3
26.9,15,134,196,-0.95,0.14,2.39,3.5,30,143,20.98,31,139,77.7,5,5,1592,8.4,1889,0.896,97.9,0
29,35,186,148,0.6,-0.1,3.32,2.64,31,155,20,31,144,78.47,3,7,1751,10.6,1558,0.905,101.7,3
28.7,35,183,154,0.44,-0.08,3.27,2.75,48,174,27.59,27,154,82.47,2,4,1674,10.9,1717,0.91,100.2,3
28.3,30,170,152,0.25,-0.04,3.04,2.71,37,161,22.98,29,149,80.54,3,3,1661,10.2,1713,0.911,101,5
28.9,24,158,165,-0.14,0.02,2.82,2.95,29,151,19.21,37,172,78.49,9,2,1746,9,1579,0.896,99,1
28.6,26,155,160,-0.08,0.01,2.77,2.86,32,175,18.29,34,172,80.23,2,7,1689,9.2,1577,0.899,100.1,4
26.1,23,155,189,-0.51,0.08,2.77,3.38,27,174,15.52,36,171,78.95,7,5,1663,9.3,1799,0.895,99,2
27.7,23,148,187,-0.56,0.1,2.64,3.34,27,155,17.42,37,183,79.78,6,4,1629,9.1,1870,0.9,99.3,1
27.1,39,197,132,1,-0.14,3.52,2.36,47,207,22.71,30,177,83.05,1,3,1937,10.2,1423,0.907,100.4,8
29.2,40,190,122,1.05,-0.15,3.39,2.18,31,174,17.82,19,144,86.81,4,2,1829,10.4,1527,0.92,101.6,7
29.3,35,180,159,0.33,-0.05,3.21,2.84,29,165,17.58,31,161,80.75,2,3,1585,11.4,1705,0.907,102,4
28.6,27,167,167,-0.02,0,2.98,2.98,36,155,23.23,38,171,77.78,6,1,1622,10.3,1670,0.9,99.8,1
28.3,24,150,174,-0.36,0.05,2.68,3.11,37,178,20.79,32,167,80.84,2,4,1538,9.8,1706,0.898,99.5,4
27.5,21,142,169,-0.42,0.06,2.54,3.02,32,169,18.93,26,159,83.65,3,3,1587,8.9,1746,0.903,98.9,2
29,21,146,196,-0.75,0.11,2.61,3.5,22,156,14.1,36,184,80.43,5,4,1682,8.7,1791,0.891,98.6,2
28.2,17,124,177,-0.83,0.12,2.21,3.16,11,123,8.94,33,164,79.88,2,5,1500,8.3,1712,0.897,99.3,4
